vid_id,is_turkey
pyKh38FXD3E,2.6672378e-10
THhP1idrWXA,8.8693636e-13
jsw3T6GY2Nw,8.549435e-06
nFkXTMHcjMU,4.0453944e-08
Au8g9kAlrLQ,0.73095423
tgk3DUpRI-w,0.0009800768
BczNwyCGlH4,0.02464767
zB5eXpmJDTM,1.1755715e-12
099z8epFcfc,0.9999993
lQ8DMnq415o,0.9999809
GQiufwoajWs,1.0
INo_-jgqN8k,0.99999774
hYRPxAli0qQ,2.4294547e-11
3Gz_nevdXMw,0.26808912
pRTdKKDW-eA,9.106161e-09
Bea4YfWKAgY,9.828283e-05
De-ZGbFCAes,0.9998152
bWb7maOK2N4,0.006200737
3yShrSi_g2I,7.362489e-05
nUG2f3kzojI,0.98584586
98MOYVfyKy4,2.643265e-16
DntcoNVqEsQ,1.6627113e-06
t_acOLqB9ZA,9.059084e-11
Di9E2EwpD_Y,0.9539215
AMrMa379dY0,3.7826777e-09
phWfXmcDeRw,6.7902643e-06
AyACodY0hek,3.7812693e-14
U3YigFH5bMs,7.839014e-06
sLHYvqfduwU,0.00025804553
xfGXhVboW9U,0.999827
GyjR5V0Sj94,4.246798e-06
FcyOVSjbUEM,0.9762054
NhKRCuCg0-g,1.0
B_BlG6QhyCI,0.79068065
CjPlMp0ToQc,0.44531846
A5Ka8Yaonr8,1.312985e-06
KJhk0LgrjeE,2.665726e-06
heJYXuYA5Cc,0.9999951
GFeMt2veznA,0.99999976
mJo_u5KPNMM,3.719151e-08
ZdnL9LMvJBw,0.01526416
lrOISIMtHXg,0.025373204
31apnEcdIQc,0.99990046
sO0LPs5WtBo,0.6069516
lqeHb_00T1A,4.507011e-08
dPmqNGO-r44,0.9957797
8hxuHS7nEwk,0.99998724
TDNnNmgqhNI,0.043295525
D-j1bgH3Wyg,0.049517076
xvxZQDfQblA,0.10217169
FDHIsDKSXlc,0.9999445
i_ER8O87unM,1.0
nwEkhvUErao,6.329913e-06
CEp4vODphO0,0.9955055
LTuFpwlB-T0,6.5717672e-06
kcVZrmJVApc,0.99967253
QvLvRJUUiQE,1.0
4Il_1KO7OKw,6.7387362e-09
SCV6o1mfDOY,1.2403028e-06
Iqg21fWbKeI,0.782736
DH-cwvd2VSg,0.6547543
oDQb7qZsz6o,6.8921577e-06
ApdF9IbnQj8,2.9150474e-06
l7wdJtEJrRc,0.99998
LLsKr1v6uE8,2.923257e-08
SY3Ygqki2gY,0.9999254
p95rtHcQ528,0.00024018559
1GYfkje0--U,1.0
8fF7rdKKDR8,2.1420828e-05
7Xq4CPPbv9k,0.7421156
ktbMfk3tzqY,5.3892236e-05
ebJqGsZAfJs,0.999998
uIhCgzZzndE,0.97533566
PDjJILVcNGQ,0.00265128
YKTAXQzbWzw,1.1096394e-06
fKZ3q6ct1uY,0.98540956
1HEVToMSVwA,0.9999986
LG7XGMqy8D8,0.0003237256
c3k--UetrVY,0.99999934
BvMTHWZtpdw,0.015857501
VPWDdoixoVI,4.8741396e-05
mcGkciLmutQ,0.013797194
KyvUAhCgn4M,0.9996714
xfwe0Xtz9_E,0.99898547
cxkCPSXyT-Y,0.9920011
d5qR0aff0Kk,0.14605194
APV65gMZT18,0.9994902
lTN3L_6_YeM,5.8888483e-05
D_TkPLA9f2s,0.00016466853
aCo2by5QPDM,0.9973162
ItJ_voFKxVY,0.99976176
RbVtm-unojc,1.1779102e-08
nbtyzsRecK0,0.0014879785
6T6P0S7B75o,7.3914713e-10
3T00Vj88Mqw,8.471517e-07
uGeQQjHBHgs,0.42140287
hSMmYRRe5ng,0.99379927
X_JUmtbYjfE,0.99951875
fbWtQ2GWKDk,0.8899384
1dH-lZ8TNLU,0.9999995
PMVia-zf_3I,0.9999999
JviwO9Zj7OU,0.0025715472
G6HAixRtRKA,1.0
tXsDL6DpBYM,0.0077324607
DbHZZt5lRy0,0.055883355
Bjf6zcZXTCY,0.031794876
Pz8w3ZDCD3w,0.9985393
Z8-hoaD2zN4,1.0701601e-07
ZiLrtELgMMY,0.0010657933
NryjtBZZIHs,3.4433396e-09
bzjimtt3rGk,0.9206227
mVRE2rICraI,1.9538383e-08
wsVx_nQXv3c,0.0001959342
Dxhl3YQ0d7A,0.28056946
9si5vOH8bJU,9.188363e-07
TRlqJ1JJylc,1.0
oowTjWgAi4A,0.999935
Ui1oGt8MlJA,7.583534e-09
fIXziy4uYao,0.6256465
ddbIpqxNADc,0.9951561
X8LsD1x5Ot8,0.99999964
HAS6G7Uq4Oc,1.0
hOT8MRkReAM,0.9999994
q84yP8KZGhw,1.0
GJC2EcC73vs,1.82497e-05
DLLWOFquoB0,1.2567657e-05
FL_v2PhMd9Y,0.16230823
6PD-aHrl0ME,5.654799e-10
3HqpH4c_kn8,0.99836004
IH0Hswbh7KA,0.79708403
ZD1RKeEkKmI,0.000812129
_JkYH257o2c,1.0
KXINjeZKQ6Q,0.99789405
Q3xRKT6koZU,0.99941003
BTTJ9-MRcYU,1.0
bv-D6HE5lIs,0.0033577539
UBnuXvoVclc,0.32809052
hLV0CNMNm_g,7.9586374e-05
E0CaC-gyAuo,0.036309455
tXt1qr-rE7U,0.0144937895
hwa8-_avXeU,6.438826e-08
JTI3fR5ipko,1.0
C4lC-fS1_aA,0.122193605
4Fq83h_zrFY,0.10224056
c3ksYeOPU4I,0.99999994
t9MMldUrBag,6.675994e-14
r6hA0ZG76_4,1.5942404e-06
uqvAwXNZrsA,0.06733295
0JmwhBQgF2k,0.99999756
UxDEeFutnw0,0.99862117
eR3r2cnzb1g,2.2477026e-10
lkeAY5br9E4,4.4563053e-06
Sx2O_jKPQ-4,0.029065967
K51wC0WjvJs,0.99960935
6jeKcfkacNA,0.999283
PgiVYe0HbNg,3.4100653e-06
8kkYR1s6r8E,2.9105755e-07
4QD-qgn9Z6w,0.9373373
5TOCsNGJ_FE,0.0005181758
PIYGqo2AOGg,0.8061718
TM9rc0zFmTc,5.0183857e-10
AfkrehNyBXU,2.4507084e-05
bnJP3pWTgyg,0.9999995
