vid_id,is_turkey
pyKh38FXD3E,0.0011668140287285607
THhP1idrWXA,0.00033218154299457007
jsw3T6GY2Nw,0.030325309040674885
nFkXTMHcjMU,0.0012718845114049711
Au8g9kAlrLQ,0.7765740927062439
tgk3DUpRI-w,0.013962167640171027
BczNwyCGlH4,0.01090333642899829
zB5eXpmJDTM,0.001225094032688414
099z8epFcfc,0.9982634164491533
lQ8DMnq415o,0.9984321183933769
GQiufwoajWs,0.971254708530061
INo_-jgqN8k,0.9992598979214095
hYRPxAli0qQ,0.0006687001333817048
3Gz_nevdXMw,0.5224025639855282
pRTdKKDW-eA,0.0001856293358132184
Bea4YfWKAgY,0.010110459017853304
De-ZGbFCAes,0.9992436555561932
bWb7maOK2N4,0.04810447365643153
3yShrSi_g2I,0.001620848478241788
nUG2f3kzojI,0.978928863670703
98MOYVfyKy4,0.0015349721157811222
DntcoNVqEsQ,0.06349047011204166
t_acOLqB9ZA,0.00012005521629566282
Di9E2EwpD_Y,0.9298086673312576
AMrMa379dY0,0.002738119281230297
phWfXmcDeRw,0.0010125063963428585
AyACodY0hek,0.02392568053420841
U3YigFH5bMs,0.0011461673507490464
sLHYvqfduwU,0.024785499487803418
xfGXhVboW9U,0.9993191037032045
GyjR5V0Sj94,0.0013161635868269511
FcyOVSjbUEM,0.9630935531317613
NhKRCuCg0-g,0.9986328856965072
B_BlG6QhyCI,0.7697343909144753
CjPlMp0ToQc,0.5986069494476659
A5Ka8Yaonr8,0.00142991541478475
KJhk0LgrjeE,0.007987765431553611
heJYXuYA5Cc,0.9814165170514055
GFeMt2veznA,0.9999764685783276
mJo_u5KPNMM,0.00020241987104088679
ZdnL9LMvJBw,0.09095895610115835
lrOISIMtHXg,0.12185403806305917
31apnEcdIQc,0.9210439769991988
sO0LPs5WtBo,0.4475823170747558
lqeHb_00T1A,0.0015353248711917713
dPmqNGO-r44,0.943080699388207
8hxuHS7nEwk,0.9875357874521348
TDNnNmgqhNI,0.0754965365514926
D-j1bgH3Wyg,0.05036982975113225
xvxZQDfQblA,0.13646776316235684
FDHIsDKSXlc,0.9931208283376729
i_ER8O87unM,0.9999906917381538
nwEkhvUErao,0.007641618344728197
CEp4vODphO0,0.994645355491871
LTuFpwlB-T0,0.0019653422568582904
kcVZrmJVApc,0.9880925539104093
QvLvRJUUiQE,0.9920097042908951
4Il_1KO7OKw,0.0006079524242006444
SCV6o1mfDOY,0.00548453444750273
Iqg21fWbKeI,0.4305681404774928
DH-cwvd2VSg,0.6424958437941204
oDQb7qZsz6o,0.0028422979484609675
ApdF9IbnQj8,0.0027764277075603243
l7wdJtEJrRc,0.9960655385372521
LLsKr1v6uE8,0.006591640496161497
SY3Ygqki2gY,0.993211186451282
p95rtHcQ528,0.08251028282272084
1GYfkje0--U,0.97565258013254
8fF7rdKKDR8,0.0017632592154809632
7Xq4CPPbv9k,0.8311199600512027
ktbMfk3tzqY,0.003058914861620878
ebJqGsZAfJs,0.9897656992968161
uIhCgzZzndE,0.9500929341366795
PDjJILVcNGQ,0.025453915452896388
YKTAXQzbWzw,0.0012135095715286918
fKZ3q6ct1uY,0.9394983106440407
1HEVToMSVwA,0.9998233102527506
LG7XGMqy8D8,0.022530942159007153
c3k--UetrVY,0.9728745427891722
BvMTHWZtpdw,0.03955764249494812
VPWDdoixoVI,0.0026102542519095035
mcGkciLmutQ,0.05476026015487473
KyvUAhCgn4M,0.9953708294742453
xfwe0Xtz9_E,0.9955834965471997
cxkCPSXyT-Y,0.9825789271797046
d5qR0aff0Kk,0.22907062912778436
APV65gMZT18,0.9588102060404734
lTN3L_6_YeM,0.007105324505686993
D_TkPLA9f2s,0.002731284833215773
aCo2by5QPDM,0.9913545840189848
ItJ_voFKxVY,0.9991325983444816
RbVtm-unojc,0.0005478628881448725
nbtyzsRecK0,0.023651062101467134
6T6P0S7B75o,0.003215618993148616
3T00Vj88Mqw,0.0013958233506522362
uGeQQjHBHgs,0.06450082789978072
hSMmYRRe5ng,0.9273970671431457
X_JUmtbYjfE,0.9931405525765017
